2023-12-16 17:45:14,724 INFO    StreamThr :9736 [internal.py:wandb_internal():86] W&B internal server running at pid: 9736, started at: 2023-12-16 17:45:14.703856
2023-12-16 17:45:14,727 DEBUG   HandlerThread:9736 [handler.py:handle_request():146] handle_request: status
2023-12-16 17:45:14,759 INFO    WriterThread:9736 [datastore.py:open_for_write():85] open: /workspace/activation-engineering-survey/syc_act_eng/evals/repe_reading/wandb/run-20231216_174514-3hseqyo2/run-3hseqyo2.wandb
2023-12-16 17:45:14,761 DEBUG   SenderThread:9736 [sender.py:send():382] send: header
2023-12-16 17:45:14,845 DEBUG   SenderThread:9736 [sender.py:send():382] send: run
2023-12-16 17:45:15,425 INFO    SenderThread:9736 [dir_watcher.py:__init__():211] watching files in: /workspace/activation-engineering-survey/syc_act_eng/evals/repe_reading/wandb/run-20231216_174514-3hseqyo2/files
2023-12-16 17:45:15,426 INFO    SenderThread:9736 [sender.py:_start_run_threads():1136] run started: 3hseqyo2 with start time 1702748714.723914
2023-12-16 17:45:15,460 DEBUG   HandlerThread:9736 [handler.py:handle_request():146] handle_request: check_version
2023-12-16 17:45:15,461 DEBUG   SenderThread:9736 [sender.py:send_request():409] send_request: check_version
2023-12-16 17:45:15,752 DEBUG   HandlerThread:9736 [handler.py:handle_request():146] handle_request: run_start
2023-12-16 17:45:15,753 DEBUG   HandlerThread:9736 [system_info.py:__init__():32] System info init
2023-12-16 17:45:15,754 DEBUG   HandlerThread:9736 [system_info.py:__init__():47] System info init done
2023-12-16 17:45:15,754 INFO    HandlerThread:9736 [system_monitor.py:start():194] Starting system monitor
2023-12-16 17:45:15,755 INFO    SystemMonitor:9736 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-16 17:45:15,756 INFO    HandlerThread:9736 [system_monitor.py:probe():214] Collecting system info
2023-12-16 17:45:15,757 INFO    SystemMonitor:9736 [interfaces.py:start():190] Started cpu monitoring
2023-12-16 17:45:15,759 INFO    SystemMonitor:9736 [interfaces.py:start():190] Started disk monitoring
